id,run_id,"('Parameter', 'dummy', 'number_of_agents_mean')","('Parameter', 'omnet', '**wlan[*].radio.transmitter.power')","('Parameter', 'omnet', '*.hostMobile[*].app[1].messageLength')","('Parameter', 'omnet', '*.manager.host')","('Parameter', 'omnet', '*.manager.useVadereSeed')","('Parameter', 'vadere', 'attributesSimulation.fixedSeed')","('Parameter', 'vadere', 'attributesSimulation.useFixedSeed')","('Parameter', 'vadere', 'sources.[id==1].distributionParameters')","('Parameter', 'vadere', 'sources.[id==2].distributionParameters')","('Parameter', 'vadere', 'sources.[id==5].distributionParameters')","('Parameter', 'vadere', 'sources.[id==6].distributionParameters')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
189,0,87.0,1.16mW,3011B,"""vadere_Sample__189_0""",true,65722447231342458,True,[0.2175],[0.2175],[0.2175],[0.2175],185.3111913204193,0.0
190,0,87.0,1.42mW,746B,"""vadere_Sample__190_0""",true,65722447231342458,True,[0.2175],[0.2175],[0.2175],[0.2175],322.7076086997986,0.0
191,0,87.0,1.16mW,746B,"""vadere_Sample__191_0""",true,65722447231342458,True,[0.2175],[0.2175],[0.2175],[0.2175],379.4042811393738,0.0
192,0,11.0,1.17mW,1505B,"""vadere_Sample__192_0""",true,65722447231342458,True,[0.0275],[0.0275],[0.0275],[0.0275],122.8447036743164,0.0
193,0,333.0,1.17mW,1505B,"""vadere_Sample__193_0""",true,65722447231342458,True,[0.8325],[0.8325],[0.8325],[0.8325],814.9708907604218,0.0
194,0,11.0,1.17mW,2228B,"""vadere_Sample__194_0""",true,65722447231342458,True,[0.0275],[0.0275],[0.0275],[0.0275],82.72388863563538,0.0
195,0,11.0,1.77mW,1505B,"""vadere_Sample__195_0""",true,65722447231342458,True,[0.0275],[0.0275],[0.0275],[0.0275],68.36348485946655,0.0
196,0,11.0,1.77mW,2228B,"""vadere_Sample__196_0""",true,65722447231342458,True,[0.0275],[0.0275],[0.0275],[0.0275],63.699278116226196,0.0
197,0,333.0,1.77mW,1505B,"""vadere_Sample__197_0""",true,65722447231342458,True,[0.8325],[0.8325],[0.8325],[0.8325],889.2628045082092,0.0
198,0,333.0,1.17mW,2228B,"""vadere_Sample__198_0""",true,65722447231342458,True,[0.8325],[0.8325],[0.8325],[0.8325],829.8027946949005,0.0
199,0,333.0,1.77mW,2228B,"""vadere_Sample__199_0""",true,65722447231342458,True,[0.8325],[0.8325],[0.8325],[0.8325],825.9078238010406,0.0
200,0,347.0,1.92mW,3505B,"""vadere_Sample__200_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675],786.9846749305725,0.0
201,0,1734.0,1.92mW,3505B,"""vadere_Sample__201_0""",true,65722447231342458,True,[4.335],[4.335],[4.335],[4.335],8597.419361114502,0.0
202,0,347.0,1.92mW,228B,"""vadere_Sample__202_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675],2243.6179914474487,0.0
203,0,347.0,1.02mW,3505B,"""vadere_Sample__203_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675],2224.69624876976,0.0
204,0,347.0,1.02mW,228B,"""vadere_Sample__204_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675],1516.2992951869965,0.0
205,0,1734.0,1.02mW,3505B,"""vadere_Sample__205_0""",true,65722447231342458,True,[4.335],[4.335],[4.335],[4.335],6843.889621019363,0.0
206,0,1734.0,1.92mW,228B,"""vadere_Sample__206_0""",true,65722447231342458,True,[4.335],[4.335],[4.335],[4.335],10323.400760412216,0.0
207,0,1734.0,1.02mW,228B,"""vadere_Sample__207_0""",true,65722447231342458,True,[4.335],[4.335],[4.335],[4.335],7759.971408843994,0.0
208,0,676.0,0.8mW,505B,"""vadere_Sample__208_0""",true,65722447231342458,True,[1.69],[1.69],[1.69],[1.69],2912.7226758003235,0.0
209,0,142.0,0.8mW,505B,"""vadere_Sample__209_0""",true,65722447231342458,True,[0.355],[0.355],[0.355],[0.355],493.5191547870636,0.0
210,0,676.0,0.8mW,1228B,"""vadere_Sample__210_0""",true,65722447231342458,True,[1.69],[1.69],[1.69],[1.69],1392.1363441944122,0.0
211,0,676.0,0.64mW,505B,"""vadere_Sample__211_0""",true,65722447231342458,True,[1.69],[1.69],[1.69],[1.69],3286.2961661815643,0.0
212,0,676.0,0.64mW,1228B,"""vadere_Sample__212_0""",true,65722447231342458,True,[1.69],[1.69],[1.69],[1.69],2079.0402121543884,0.0
213,0,142.0,0.64mW,505B,"""vadere_Sample__213_0""",true,65722447231342458,True,[0.355],[0.355],[0.355],[0.355],428.66493248939514,0.0
214,0,142.0,0.8mW,1228B,"""vadere_Sample__214_0""",true,65722447231342458,True,[0.355],[0.355],[0.355],[0.355],364.1519978046417,0.0
215,0,142.0,0.64mW,1228B,"""vadere_Sample__215_0""",true,65722447231342458,True,[0.355],[0.355],[0.355],[0.355],465.414324760437,0.0
216,0,151.0,1.55mW,2505B,"""vadere_Sample__216_0""",true,65722447231342458,True,[0.3775],[0.3775],[0.3775],[0.3775],244.87445187568665,0.0
217,0,649.0,1.55mW,2505B,"""vadere_Sample__217_0""",true,65722447231342458,True,[1.6225],[1.6225],[1.6225],[1.6225],2288.658437728882,0.0
218,0,151.0,1.55mW,3228B,"""vadere_Sample__218_0""",true,65722447231342458,True,[0.3775],[0.3775],[0.3775],[0.3775],626.7519416809082,0.0
219,0,151.0,1.39mW,2505B,"""vadere_Sample__219_0""",true,65722447231342458,True,[0.3775],[0.3775],[0.3775],[0.3775],834.8197343349457,0.0
220,0,151.0,1.39mW,3228B,"""vadere_Sample__220_0""",true,65722447231342458,True,[0.3775],[0.3775],[0.3775],[0.3775],590.6470928192139,0.0
221,0,649.0,1.39mW,2505B,"""vadere_Sample__221_0""",true,65722447231342458,True,[1.6225],[1.6225],[1.6225],[1.6225],2630.327290058136,0.0
222,0,649.0,1.55mW,3228B,"""vadere_Sample__222_0""",true,65722447231342458,True,[1.6225],[1.6225],[1.6225],[1.6225],2044.9065001010895,0.0
223,0,649.0,1.39mW,3228B,"""vadere_Sample__223_0""",true,65722447231342458,True,[1.6225],[1.6225],[1.6225],[1.6225],1938.5320808887482,0.0
224,0,240.0,1.73mW,5B,"""vadere_Sample__224_0""",true,65722447231342458,True,[0.6],[0.6],[0.6],[0.6],1222.9356818199158,0.0
225,0,467.0,1.73mW,5B,"""vadere_Sample__225_0""",true,65722447231342458,True,[1.1675],[1.1675],[1.1675],[1.1675],3753.454813718796,0.0
226,0,240.0,1.73mW,3728B,"""vadere_Sample__226_0""",true,65722447231342458,True,[0.6],[0.6],[0.6],[0.6],727.3012008666992,0.0
