,,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter
,,dummy,omnet,omnet,omnet,omnet,vadere,vadere,vadere,vadere,vadere,vadere
,,number_of_agents_mean,**wlan[*].radio.transmitter.power,*.hostMobile[*].app[1].messageLength,*.manager.host,*.manager.useVadereSeed,attributesSimulation.fixedSeed,attributesSimulation.useFixedSeed,sources.[id==1].distributionParameters,sources.[id==2].distributionParameters,sources.[id==5].distributionParameters,sources.[id==6].distributionParameters
id,run_id,,,,,,,,,,,
142,0,366.0,1.23mW,2807B,"""vadere_Sample__142_0""",true,65722447231342458,True,[0.915],[0.915],[0.915],[0.915]
143,0,366.0,1.35mW,2807B,"""vadere_Sample__143_0""",true,65722447231342458,True,[0.915],[0.915],[0.915],[0.915]
144,0,988.0,1.61mW,639B,"""vadere_Sample__144_0""",true,65722447231342458,True,[2.47],[2.47],[2.47],[2.47]
145,0,164.0,1.61mW,639B,"""vadere_Sample__145_0""",true,65722447231342458,True,[0.41000000000000003],[0.41000000000000003],[0.41000000000000003],[0.41000000000000003]
146,0,988.0,1.61mW,4057B,"""vadere_Sample__146_0""",true,65722447231342458,True,[2.47],[2.47],[2.47],[2.47]
147,0,988.0,1.72mW,639B,"""vadere_Sample__147_0""",true,65722447231342458,True,[2.47],[2.47],[2.47],[2.47]
148,0,988.0,1.72mW,4057B,"""vadere_Sample__148_0""",true,65722447231342458,True,[2.47],[2.47],[2.47],[2.47]
149,0,164.0,1.72mW,639B,"""vadere_Sample__149_0""",true,65722447231342458,True,[0.41000000000000003],[0.41000000000000003],[0.41000000000000003],[0.41000000000000003]
150,0,164.0,1.61mW,4057B,"""vadere_Sample__150_0""",true,65722447231342458,True,[0.41000000000000003],[0.41000000000000003],[0.41000000000000003],[0.41000000000000003]
151,0,164.0,1.72mW,4057B,"""vadere_Sample__151_0""",true,65722447231342458,True,[0.41000000000000003],[0.41000000000000003],[0.41000000000000003],[0.41000000000000003]
152,0,239.0,0.86mW,3139B,"""vadere_Sample__152_0""",true,65722447231342458,True,[0.5975],[0.5975],[0.5975],[0.5975]
153,0,713.0,0.86mW,3139B,"""vadere_Sample__153_0""",true,65722447231342458,True,[1.7825],[1.7825],[1.7825],[1.7825]
154,0,239.0,0.86mW,1557B,"""vadere_Sample__154_0""",true,65722447231342458,True,[0.5975],[0.5975],[0.5975],[0.5975]
155,0,239.0,0.97mW,3139B,"""vadere_Sample__155_0""",true,65722447231342458,True,[0.5975],[0.5975],[0.5975],[0.5975]
156,0,239.0,0.97mW,1557B,"""vadere_Sample__156_0""",true,65722447231342458,True,[0.5975],[0.5975],[0.5975],[0.5975]
157,0,713.0,0.97mW,3139B,"""vadere_Sample__157_0""",true,65722447231342458,True,[1.7825],[1.7825],[1.7825],[1.7825]
158,0,713.0,0.86mW,1557B,"""vadere_Sample__158_0""",true,65722447231342458,True,[1.7825],[1.7825],[1.7825],[1.7825]
159,0,713.0,0.97mW,1557B,"""vadere_Sample__159_0""",true,65722447231342458,True,[1.7825],[1.7825],[1.7825],[1.7825]
160,0,151.0,1.04mW,14B,"""vadere_Sample__160_0""",true,65722447231342458,True,[0.3775],[0.3775],[0.3775],[0.3775]
161,0,1061.0,1.04mW,14B,"""vadere_Sample__161_0""",true,65722447231342458,True,[2.6525],[2.6525],[2.6525],[2.6525]
162,0,151.0,1.04mW,2182B,"""vadere_Sample__162_0""",true,65722447231342458,True,[0.3775],[0.3775],[0.3775],[0.3775]
163,0,151.0,0.78mW,14B,"""vadere_Sample__163_0""",true,65722447231342458,True,[0.3775],[0.3775],[0.3775],[0.3775]
164,0,151.0,0.78mW,2182B,"""vadere_Sample__164_0""",true,65722447231342458,True,[0.3775],[0.3775],[0.3775],[0.3775]
165,0,1061.0,0.78mW,14B,"""vadere_Sample__165_0""",true,65722447231342458,True,[2.6525],[2.6525],[2.6525],[2.6525]
166,0,1061.0,1.04mW,2182B,"""vadere_Sample__166_0""",true,65722447231342458,True,[2.6525],[2.6525],[2.6525],[2.6525]
167,0,1061.0,0.78mW,2182B,"""vadere_Sample__167_0""",true,65722447231342458,True,[2.6525],[2.6525],[2.6525],[2.6525]
168,0,675.0,1.79mW,2514B,"""vadere_Sample__168_0""",true,65722447231342458,True,[1.6875],[1.6875],[1.6875],[1.6875]
169,0,254.0,1.79mW,2514B,"""vadere_Sample__169_0""",true,65722447231342458,True,[0.635],[0.635],[0.635],[0.635]
170,0,675.0,1.79mW,4682B,"""vadere_Sample__170_0""",true,65722447231342458,True,[1.6875],[1.6875],[1.6875],[1.6875]
171,0,675.0,1.53mW,2514B,"""vadere_Sample__171_0""",true,65722447231342458,True,[1.6875],[1.6875],[1.6875],[1.6875]
172,0,675.0,1.53mW,4682B,"""vadere_Sample__172_0""",true,65722447231342458,True,[1.6875],[1.6875],[1.6875],[1.6875]
173,0,254.0,1.53mW,2514B,"""vadere_Sample__173_0""",true,65722447231342458,True,[0.635],[0.635],[0.635],[0.635]
174,0,254.0,1.79mW,4682B,"""vadere_Sample__174_0""",true,65722447231342458,True,[0.635],[0.635],[0.635],[0.635]
175,0,254.0,1.53mW,4682B,"""vadere_Sample__175_0""",true,65722447231342458,True,[0.635],[0.635],[0.635],[0.635]
176,0,347.0,0.67mW,1264B,"""vadere_Sample__176_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675]
177,0,510.0,0.67mW,1264B,"""vadere_Sample__177_0""",true,65722447231342458,True,[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],[1.2750000000000001]
178,0,347.0,0.67mW,3432B,"""vadere_Sample__178_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675]
179,0,347.0,1.91mW,1264B,"""vadere_Sample__179_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675]
180,0,347.0,1.91mW,3432B,"""vadere_Sample__180_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675]
181,0,510.0,1.91mW,1264B,"""vadere_Sample__181_0""",true,65722447231342458,True,[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],[1.2750000000000001]
182,0,510.0,0.67mW,3432B,"""vadere_Sample__182_0""",true,65722447231342458,True,[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],[1.2750000000000001]
